Week,Activity Week Label,Activity Desc,Activity Name,Activity Type,Activity Type Name,Location Name,Start Date Time,End Date Time,Day,Staff
36,,MA37410 LECTURE 1,MA37410/L/1/01,Lecture,LECTURE,LL-G3,28/04/2025 @ 10:00:00,28/04/2025 @ 11:00:00,Monday,"Gohm, Rolf"
36,,,"MP11010/L/2/01, MT11010/L/2/01",Lecture,LECTURE,EL-0.26,28/04/2025 @ 10:00:00,28/04/2025 @ 11:00:00,Monday,"Pitchford, Alexander"
36,,MA11110 TUTORIAL 1,MA11110/T/1/01,Tutorial,TUTORIAL,MP-3.05,28/04/2025 @ 11:00:00,28/04/2025 @ 12:00:00,Monday,"Bufton, Zac"
36,,MA03610 LECTURE 1,MA03610/L/1/01,Lecture,LECTURE,MP-3.02,28/04/2025 @ 12:00:00,28/04/2025 @ 13:00:00,Monday,"Peck, Daniel"
36,,MA11110 TUTORIAL 1,MA11110/T/1/03,Tutorial,TUTORIAL,MP-3.05,28/04/2025 @ 12:00:00,28/04/2025 @ 13:00:00,Monday,"Bufton, Zac"
36,,,"MA11310/L/1/01, MT11310/L/1/01",Lecture,LECTURE,MP-0.10,28/04/2025 @ 13:00:00,28/04/2025 @ 14:00:00,Monday,"Kiukas, Jukka"
36,,MA11110 TUTORIAL 1,MA11110/T/1/04,Tutorial,TUTORIAL,MP-3.05,28/04/2025 @ 14:00:00,28/04/2025 @ 15:00:00,Monday,"Bufton, Zac"
36,,MT34210 TUTORIAL 1,MT34210/T/1/01,Tutorial,TUTORIAL,MP-3.02,28/04/2025 @ 14:00:00,28/04/2025 @ 15:00:00,Monday,"Davies, Tudur"
36,,,"MA25610/L/2/01, MT25610/L/2/01",Lecture,LECTURE,MP-0.10,28/04/2025 @ 14:00:00,28/04/2025 @ 15:00:00,Monday,"Cox, Simon"
36,,MA11110 TUTORIAL 1,MA11110/T/1/02,Tutorial,TUTORIAL,LL-C65,28/04/2025 @ 15:00:00,28/04/2025 @ 16:00:00,Monday,"Douglas, Robert"
36,,MT11110 TUTORIAL 1,MT11110/T/1/01,Tutorial,TUTORIAL,MP-3.05,28/04/2025 @ 15:00:00,28/04/2025 @ 16:00:00,Monday,"Evans, Gwion"
36,,,"MA21510/L/1/01, MT21510/L/1/01",Lecture,LECTURE,MP-0.11,28/04/2025 @ 15:00:00,28/04/2025 @ 16:00:00,Monday,"Mughal, Adil"
36,,,"MA25220/L/3/01, MT25220/L/3/01",Lecture,LECTURE,LL-G3,28/04/2025 @ 16:00:00,28/04/2025 @ 17:00:00,Monday,"Davies, Tudur"
36,,MA34920 LECTURE 2,MA34920/L/2/01,Lecture,LECTURE,MP-0.11,28/04/2025 @ 17:00:00,28/04/2025 @ 18:00:00,Monday,"Cox, Simon"
36,,,"MA11210/L/1/01, MT11210/L/1/01",Lecture,LECTURE,MP-0.10,29/04/2025 @ 09:00:00,29/04/2025 @ 10:00:00,Tuesday,"Vellender, Adam"
36,,MA01020 TUTORIAL 2,MA01020/T/2/01,Tutorial,TUTORIAL,LL-G3A,29/04/2025 @ 11:00:00,29/04/2025 @ 13:00:00,Tuesday,"Pitchford, Alexander;<br>Rogers, Rosemary"
36,,MA38310 LECTURE 1,MA38310/L/1/01,Lecture,LECTURE,MP-3.05,29/04/2025 @ 11:00:00,29/04/2025 @ 12:00:00,Tuesday,"Evans, Gwion"
36,,,"MA25610/L/1/01, MT25610/L/1/01",Lecture,LECTURE,MP-0.10,29/04/2025 @ 13:00:00,29/04/2025 @ 14:00:00,Tuesday,"Cox, Simon"
36,,,"MA11110/L/2/01, MT11110/L/2/01",Lecture,LECTURE,LL-A6,29/04/2025 @ 14:00:00,29/04/2025 @ 15:00:00,Tuesday,"Douglas, Robert"
36,,,"MA34210/L/1/01, MT34210/L/1/01",Lecture,LECTURE,MP-0.10,29/04/2025 @ 14:00:00,29/04/2025 @ 15:00:00,Tuesday,"Vellender, Adam"
36,,,"MA21410/L/1/01, MT21410/L/1/01",Lecture,LECTURE,MP-0.10,29/04/2025 @ 15:00:00,29/04/2025 @ 16:00:00,Tuesday,"Douglas, Robert"
36,,,"MA25220/L/2/01, MT25220/L/2/01",Lecture,LECTURE,LL-G3,29/04/2025 @ 16:00:00,29/04/2025 @ 17:00:00,Tuesday,"Davies, Tudur"
36,,,"MA37010/L/2/01, MAM7020/L/2/01",Lecture,LECTURE,MP-0.10,29/04/2025 @ 16:00:00,29/04/2025 @ 17:00:00,Tuesday,"Douglas, Robert"
36,,MT25610 TUTORIAL 1,MT25610/T/1/01,Tutorial,TUTORIAL,MP-3.02,29/04/2025 @ 17:00:00,29/04/2025 @ 18:00:00,Tuesday,"Davies, Tudur"
36,,,"MA32410/L/2/01, MT32410/L/2/01",Lecture,LECTURE,LL-C63,29/04/2025 @ 17:00:00,29/04/2025 @ 18:00:00,Tuesday,"Evans, Gwion"
36,,MA00910 LECTURE 2,MA00910/L/2/01,Lecture,LECTURE,LL-C64,30/04/2025 @ 10:00:00,30/04/2025 @ 11:00:00,Wednesday,"Pitchford, Alexander"
36,,MA25710 LECTURE 2,MA25710/L/2/01,Lecture,LECTURE,MP-0.11,30/04/2025 @ 10:00:00,30/04/2025 @ 11:00:00,Wednesday,"Mughal, Adil"
36,,,"MA21510/L/2/01, MT21510/L/2/01",Lecture,LECTURE,MP-0.11,30/04/2025 @ 12:00:00,30/04/2025 @ 13:00:00,Wednesday,"Mughal, Adil"
36,,MA38310 LECTURE 2,MA38310/L/2/01,Lecture,LECTURE,MP-3.05,01/05/2025 @ 09:00:00,01/05/2025 @ 10:00:00,Thursday,"Evans, Gwion"
36,,MA26620 LECTURE 2,MA26620/L/2/01,Lecture,LECTURE,VC-B1.07,01/05/2025 @ 10:00:00,01/05/2025 @ 11:00:00,Thursday,"Vellender, Adam"
36,,,"MA32410/L/3/01, MT32410/L/3/01",Lecture,LECTURE,LL-C64,01/05/2025 @ 10:00:00,01/05/2025 @ 11:00:00,Thursday,"Evans, Gwion"
